dates,GPHT_landward,days_from_start,linfit,ndates
2010-01-15,0.56021285,0,0.48514548620157133,2010-01-15
2010-01-23,0.5149587,8,0.48534995973843903,2010-01-23
2010-01-28,0.5625371,13,0.4854777556989814,2010-01-28
2010-02-02,0.53350323,18,0.4856055516595237,2010-02-02
2010-04-05,0.45595247,80,0.4871902215702485,2010-04-05
2010-05-08,0.42448452,113,0.48803367490982785,2010-05-08
2010-12-05,0.5776924,324,0.49342666444471395,2010-12-05
2011-02-24,0.50137156,405,0.49549695900549956,2011-02-24
2011-04-09,0.431141,449,0.496621563458272,2011-04-09
2011-04-14,0.43751985,454,0.4967493594188144,2011-04-14
2011-05-07,0.4559387,477,0.497337220837309,2011-05-07
2011-10-22,0.56254154,645,0.5016311651115312,2011-10-22
2011-10-26,0.5484841,649,0.501733401879965,2011-10-26
2011-12-28,0.5253042,712,0.5033436309827983,2011-12-28
2012-02-07,0.5073333,753,0.5043915578592453,2012-02-07
2012-04-03,0.3822967,809,0.5058228726173194,2012-04-03
2012-04-21,0.4394784,827,0.5062829380752717,2012-04-21
2012-04-22,0.4586439,828,0.5063084972673801,2012-04-22
2012-07-10,0.5096117,907,0.5083276734439489,2012-07-10
2012-07-28,0.48901743,925,0.5087877389019013,2012-07-28
2012-10-12,0.6392407,1001,0.5107302375021446,2012-10-12
2013-01-05,0.65694433,1086,0.5129027688313641,2013-01-05
2013-03-27,0.4714638,1167,0.5149730633921498,2013-03-27
2013-05-17,0.46002403,1218,0.5162765821896814,2013-05-17
2013-07-18,0.43095365,1280,0.5178612521004062,2013-07-18
2013-10-15,0.5181213,1369,0.5201360201980596,2013-10-15
2014-01-12,0.5507797,1458,0.522410788295713,2014-01-12
2014-02-10,0.5519281,1487,0.5231520048668585,2014-02-10
2014-04-05,0.43853152,1541,0.5245322012407156,2014-04-05
2014-07-21,0.42886642,1648,0.5272670347963213,2014-07-21
2014-10-04,0.53647476,1723,0.5291839742044562,2014-10-04
2014-12-22,0.61435175,1802,0.531203150381025,2014-12-22
2015-02-25,0.52930087,1867,0.5328644978680751,2015-02-25
2015-03-02,0.519695,1872,0.5329922938286175,2015-03-02
2015-04-22,0.4746238,1923,0.5342958126261491,2015-04-22
2015-05-08,0.3976727,1939,0.5347047596998846,2015-05-08
2015-05-12,0.43496445,1943,0.5348069964683184,2015-05-12
2015-07-07,0.46071988,1999,0.5362383112263924,2015-07-07
2015-08-09,0.4881997,2032,0.5370817645659718,2015-08-09
2015-09-24,0.62258047,2078,0.5382574874029612,2015-09-24
2015-09-27,0.55108595,2081,0.5383341649792865,2015-09-27
2015-10-07,0.6037924,2091,0.5385897569003713,2015-10-07
2015-12-06,0.61875314,2151,0.5401233084268792,2015-12-06
2015-12-14,0.6225257,2159,0.5403277819637469,2015-12-14
2016-01-08,0.5989086,2184,0.5409667617664585,2016-01-08
2016-01-18,0.588433,2194,0.5412223536875431,2016-01-18
2016-02-03,0.6160627,2210,0.5416313007612785,2016-02-03
2016-03-01,0.5835125,2237,0.5423213989482071,2016-03-01
2016-03-05,0.5364352,2241,0.542423635716641,2016-03-05
2016-03-09,0.52846885,2245,0.5425258724850748,2016-03-09
2016-03-18,0.55585176,2254,0.542755905214051,2016-03-18
2016-04-16,0.46928707,2283,0.5434971217851965,2016-04-16
2016-06-24,0.58620036,2352,0.5452607060406806,2016-06-24
2016-09-15,0.5309764,2435,0.5473821189856831,2016-09-15
2016-09-23,0.5593625,2443,0.5475865925225508,2016-09-23
2017-05-30,0.49365178,2692,0.5539508313575586,2017-05-30
2017-06-10,0.49868396,2703,0.5542319824707517,2017-06-10
2017-08-07,0.4595049,2761,0.5557144156130427,2017-08-07
2017-10-08,0.62230974,2823,0.5572990855237675,2017-10-08
2017-10-13,0.56779635,2828,0.5574268814843099,2017-10-13
2017-12-20,0.58618426,2896,0.5591649065476855,2017-12-20
2017-12-27,0.6477096,2903,0.5593438208924447,2017-12-27
2018-02-02,0.6201772,2940,0.5602895110004579,2018-02-02
2018-03-12,0.5573924,2978,0.5612607603005795,2018-03-12
2018-03-20,0.48584703,2986,0.5614652338374473,2018-03-20
2018-07-23,0.46010107,3111,0.5646601328510054,2018-07-23
2018-08-18,0.508784,3137,0.5653246718458255,2018-08-18
2018-09-25,0.586389,3175,0.5662959211459471,2018-09-25
2018-12-30,0.60736006,3271,0.5687496035883597,2018-12-30
2019-12-27,0.64355177,3633,0.578002031131624,2019-12-27
2020-01-11,0.59258664,3648,0.5783854190132509,2020-01-11
2020-01-20,0.630123,3657,0.5786154517422272,2020-01-20
2020-02-12,0.5479982,3680,0.5792033131607218,2020-02-12
