dates,GPHT,days_from_start,linfit,ndates
2010-01-15,0.43759453,0,0.38874006812679285,2010-01-15
2010-01-23,0.42489466,8,0.38886007370248005,2010-01-23
2010-01-28,0.4378201,13,0.3889350771872846,2010-01-28
2010-02-02,0.3875951,18,0.3890100806720891,2010-02-02
2010-05-08,0.31177732,113,0.3904351468833749,2010-05-08
2010-12-05,0.47406325,324,0.3936002939421255,2010-12-05
2011-02-24,0.39015862,405,0.3948153503959586,2011-02-24
2011-10-22,0.40166166,645,0.39841551766657535,2011-10-22
2011-12-28,0.39213,712,0.39942056436295587,2011-12-28
2012-02-07,0.3463185,753,0.4000355929383529,2012-02-07
2012-04-21,0.29356,827,0.40114564451345974,2012-04-21
2012-04-22,0.28043458,828,0.40116064521042066,2012-04-22
2012-10-12,0.49524084,1001,0.4037557657846569,2012-10-12
2013-01-05,0.5733267,1086,0.40503082502633364,2013-01-05
2013-10-15,0.33498037,1369,0.40927602226626925,2013-10-15
2014-01-12,0.43264282,1458,0.41061108429578963,2014-01-12
2014-02-10,0.42701957,1487,0.41104610450765583,2014-02-10
2014-10-04,0.3455527,1723,0.41458626899042894,2014-10-04
2014-12-22,0.43611127,1802,0.41577132405034034,2014-12-22
2015-02-25,0.40850812,1867,0.416746369352799,2015-02-25
2015-04-22,0.335807,1923,0.4175864083826096,2015-04-22
2015-09-27,0.4045995,2081,0.41995651850243226,2015-09-27
2015-10-07,0.48184568,2091,0.4201065254720413,2015-10-07
2015-12-06,0.45745906,2151,0.4210065672896955,2015-12-06
2015-12-14,0.4525943,2159,0.42112657286538274,2015-12-14
2016-01-08,0.43312502,2184,0.4215015902894053,2016-01-08
2016-01-18,0.43400556,2194,0.42165159725901435,2016-01-18
2016-02-03,0.46961316,2210,0.4218916084103888,2016-02-03
2016-03-05,0.38204762,2241,0.4223566300161768,2016-03-05
2016-03-09,0.3573826,2245,0.4224166328040204,2016-03-09
2016-04-16,0.3248558,2283,0.42298665928853474,2016-04-16
2016-09-23,0.42937613,2443,0.4253867708022792,2016-09-23
2017-10-08,0.4902745,2823,0.4310870356474224,2017-10-08
2017-10-13,0.4399293,2828,0.43116203913222695,2017-10-13
2017-12-20,0.43985257,2896,0.43218208652556833,2017-12-20
2017-12-27,0.49497014,2903,0.43228709140429467,2017-12-27
2018-02-02,0.46306735,2940,0.43284211719184806,2018-02-02
2018-03-12,0.38670734,2978,0.4334121436763624,2018-03-12
2018-03-20,0.31841817,2986,0.43353214925204964,2018-03-20
2018-09-25,0.4010208,3175,0.4363672809776603,2018-09-25
2018-12-30,0.46973503,3271,0.43780734788590703,2018-12-30
2019-12-27,0.5043674,3633,0.443237600185754,2019-12-27
2020-01-11,0.45354876,3648,0.4434626106401675,2020-01-11
2020-01-20,0.4825203,3657,0.44359761691281563,2020-01-20
2020-02-12,0.41577783,3680,0.4439426329429164,2020-02-12
