,Year,Mangrove Cover,UVVR,Mangrove Pct Change,UVVR Pct Change
0,2010,198.688,1.0646148240627127,,
1,2011,200.9893,1.091362936454725,1.1582481075857576,2.512468527343814
2,2012,211.31867499999998,1.1919453220139558,5.139266120136754,9.216217831803132
3,2013,187.707975,0.985019497519714,-11.173030495293412,-17.360345367572073
4,2014,195.841275,1.0603070046319099,4.33295388754793,7.643250443445071
5,2015,198.5848,1.0583397130805825,1.4008921255235895,-0.1855398052387991
6,2016,201.01919999999998,1.0978053908018703,1.225874286450912,3.7290179356883835
7,2017,195.35385,1.012934952943008,-2.818312877575868,-7.730918300270906
8,2018,198.919425,1.061151909546834,1.8251879858011577,4.760123684520434
9,2019,190.85569999999998,0.9467211798417656,-4.053764482779898,-10.783633207985854
10,2020,196.01815,0.9827144748084291,2.7048969457029726,3.801889693930738
